ap12a_Blanco;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Un lugar tranquilo para estudiar] - Blanco
ap12a_No_disponible;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Un lugar tranquilo para estudiar] - No disponible
ap12a_Multimarca;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Un lugar tranquilo para estudiar] - Multimarca
ap12a_Sí;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Un lugar tranquilo para estudiar] - Sí
ap12a_No;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Un lugar tranquilo para estudiar] - No
ap12b_Blanco;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Baño con ducha o bañera] - Blanco
ap12b_No_disponible;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Baño con ducha o bañera] - No disponible
ap12b_Multimarca;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Baño con ducha o bañera] - Multimarca
ap12b_Sí;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Baño con ducha o bañera] - Sí
ap12b_No;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Baño con ducha o bañera] - No
ap12c_Blanco;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Canilla con agua apta para el consumo humano] - Blanco
ap12c_No_disponible;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Canilla con agua apta para el consumo humano] - No disponible
ap12c_Multimarca;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Canilla con agua apta para el consumo humano] - Multimarca
ap12c_Sí;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Canilla con agua apta para el consumo humano] - Sí
ap12c_No;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Canilla con agua apta para el consumo humano] - No
ap12d_Blanco;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Heladera con freezer] - Blanco
ap12d_No_disponible;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Heladera con freezer] - No disponible
ap12d_Multimarca;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Heladera con freezer] - Multimarca
ap12d_Sí;¿Disponés de los siguientes objetos, servicios o espacios en el lugar donde vivís?  [Heladera con freezer] - Sí
